Name,Criteria ID,Canonical Name,Parent ID,Country Code,Target Type
AB10,9046834,"AB10,Scotland,United Kingdom",20342,GB,Postal Code
AB11,9046835,"AB11,Scotland,United Kingdom",20342,GB,Postal Code
AB12,9046831,"AB12,Scotland,United Kingdom",20342,GB,Postal Code
AB15,9046836,"AB15,Scotland,United Kingdom",20342,GB,Postal Code
AB21,9046837,"AB21,Scotland,United Kingdom",20342,GB,Postal Code
AB23,9046832,"AB23,Scotland,United Kingdom",20342,GB,Postal Code
AB24,9046833,"AB24,Scotland,United Kingdom",20342,GB,Postal Code
AB31,9046840,"AB31,Scotland,United Kingdom",20342,GB,Postal Code
AB32,9046838,"AB32,Scotland,United Kingdom",20342,GB,Postal Code
AB34,9046843,"AB34,Scotland,United Kingdom",20342,GB,Postal Code
AB35,9046851,"AB35,Scotland,United Kingdom",20342,GB,Postal Code
AB39,9046841,"AB39,Scotland,United Kingdom",20342,GB,Postal Code
AB41,9046830,"AB41,Scotland,United Kingdom",20342,GB,Postal Code
AB42,9046829,"AB42,Scotland,United Kingdom",20342,GB,Postal Code
AB43,9046828,"AB43,Scotland,United Kingdom",20342,GB,Postal Code
AB51,9046839,"AB51,Scotland,United Kingdom",20342,GB,Postal Code
AB53,9046844,"AB53,Scotland,United Kingdom",20342,GB,Postal Code
AB54,9046845,"AB54,Scotland,United Kingdom",20342,GB,Postal Code
AB55,9046846,"AB55,Scotland,United Kingdom",20342,GB,Postal Code
AB56,9046847,"AB56,Scotland,United Kingdom",20342,GB,Postal Code
AL1,9046035,"AL1,England,United Kingdom",20339,GB,Postal Code
AL10,9046033,"AL10,England,United Kingdom",20339,GB,Postal Code
AL2,9046034,"AL2,England,United Kingdom",20339,GB,Postal Code
AL3,9046030,"AL3,England,United Kingdom",20339,GB,Postal Code
AL4,9046031,"AL4,England,United Kingdom",20339,GB,Postal Code
AL5,9046029,"AL5,England,United Kingdom",20339,GB,Postal Code
AL6,9046018,"AL6,England,United Kingdom",20339,GB,Postal Code
AL7,9046017,"AL7,England,United Kingdom",20339,GB,Postal Code
AL8,9046032,"AL8,England,United Kingdom",20339,GB,Postal Code
AL9,9046015,"AL9,England,United Kingdom",20339,GB,Postal Code
B1,9045542,"B1,England,United Kingdom",20339,GB,Postal Code
B10,9045533,"B10,England,United Kingdom",20339,GB,Postal Code
B11,9045532,"B11,England,United Kingdom",20339,GB,Postal Code
B12,9045537,"B12,England,United Kingdom",20339,GB,Postal Code
B13,9045530,"B13,England,United Kingdom",20339,GB,Postal Code
B14,9045528,"B14,England,United Kingdom",20339,GB,Postal Code
B15,9045540,"B15,England,United Kingdom",20339,GB,Postal Code
B16,9045541,"B16,England,United Kingdom",20339,GB,Postal Code
B17,9045469,"B17,England,United Kingdom",20339,GB,Postal Code
B18,9045544,"B18,England,United Kingdom",20339,GB,Postal Code
B19,9045543,"B19,England,United Kingdom",20339,GB,Postal Code
B20,9045497,"B20,England,United Kingdom",20339,GB,Postal Code
B21,9045496,"B21,England,United Kingdom",20339,GB,Postal Code
B23,9045503,"B23,England,United Kingdom",20339,GB,Postal Code
B24,9045504,"B24,England,United Kingdom",20339,GB,Postal Code
B26,9045518,"B26,England,United Kingdom",20339,GB,Postal Code
B27,9045531,"B27,England,United Kingdom",20339,GB,Postal Code
B28,9045529,"B28,England,United Kingdom",20339,GB,Postal Code
B29,9045466,"B29,England,United Kingdom",20339,GB,Postal Code
B30,9045538,"B30,England,United Kingdom",20339,GB,Postal Code
B31,9045465,"B31,England,United Kingdom",20339,GB,Postal Code
B32,9045461,"B32,England,United Kingdom",20339,GB,Postal Code
B33,9045517,"B33,England,United Kingdom",20339,GB,Postal Code
B35,9045507,"B35,England,United Kingdom",20339,GB,Postal Code
B36,9045515,"B36,England,United Kingdom",20339,GB,Postal Code
B37,9045516,"B37,England,United Kingdom",20339,GB,Postal Code
B38,9045545,"B38,England,United Kingdom",20339,GB,Postal Code
B42,9045498,"B42,England,United Kingdom",20339,GB,Postal Code
B43,9045495,"B43,England,United Kingdom",20339,GB,Postal Code
B44,9045499,"B44,England,United Kingdom",20339,GB,Postal Code
B45,9045462,"B45,England,United Kingdom",20339,GB,Postal Code
B46,9045514,"B46,England,United Kingdom",20339,GB,Postal Code
B47,9045527,"B47,England,United Kingdom",20339,GB,Postal Code
B48,9045464,"B48,England,United Kingdom",20339,GB,Postal Code
B49,9045549,"B49,England,United Kingdom",20339,GB,Postal Code
