Postcode,CountryCode,Gma,GmaCanonicalName
97358,US,820,"Portland,OR"
97355,US,820,"Portland,OR"
24412,US,573,"Roanoke-Lynchburg,VA"
97357,US,820,"Portland,OR"
97351,US,820,"Portland,OR"
24413,US,573,"Roanoke-Lynchburg,VA"
97350,US,820,"Portland,OR"
24416,US,573,"Roanoke-Lynchburg,VA"
97352,US,820,"Portland,OR"
12438,US,502,"Binghamton,NY"
12439,US,532,"Albany-Schenectady-Troy,NY"
85379,US,753,"Phoenix,AZ"
12432,US,501,"New York,NY"
85377,US,753,"Phoenix,AZ"
12433,US,501,"New York,NY"
85378,US,753,"Phoenix,AZ"
12430,US,532,"Albany-Schenectady-Troy,NY"
36401,US,686,"Mobile,AL-Pensacola (Ft. Walton Beach),FL"
85375,US,753,"Phoenix,AZ"
12431,US,532,"Albany-Schenectady-Troy,NY"
12436,US,532,"Albany-Schenectady-Troy,NY"
85373,US,753,"Phoenix,AZ"
85374,US,753,"Phoenix,AZ"
12434,US,502,"Binghamton,NY"
85371,US,753,"Phoenix,AZ"
12435,US,501,"New York,NY"
97348,US,820,"Portland,OR"
12440,US,501,"New York,NY"
97347,US,820,"Portland,OR"
24421,US,569,"Harrisonburg,VA"
97344,US,820,"Portland,OR"
97343,US,820,"Portland,OR"
97346,US,820,"Portland,OR"
24422,US,573,"Roanoke-Lynchburg,VA"
97345,US,820,"Portland,OR"
97342,US,820,"Portland,OR"
24426,US,573,"Roanoke-Lynchburg,VA"
97341,US,820,"Portland,OR"
12449,US,501,"New York,NY"
12443,US,501,"New York,NY"
12444,US,532,"Albany-Schenectady-Troy,NY"
85367,US,771,"Yuma,AZ-El Centro,CA"
85364,US,771,"Yuma,AZ-El Centro,CA"
12442,US,532,"Albany-Schenectady-Troy,NY"
85365,US,771,"Yuma,AZ-El Centro,CA"
85362,US,753,"Phoenix,AZ"
12448,US,501,"New York,NY"
85363,US,753,"Phoenix,AZ"
85360,US,753,"Phoenix,AZ"
12446,US,501,"New York,NY"
85361,US,753,"Phoenix,AZ"
85392,US,753,"Phoenix,AZ"
85390,US,753,"Phoenix,AZ"
97377,US,820,"Portland,OR"
97376,US,820,"Portland,OR"
97378,US,820,"Portland,OR"
97375,US,820,"Portland,OR"
97374,US,820,"Portland,OR"
12418,US,532,"Albany-Schenectady-Troy,NY"
12419,US,501,"New York,NY"
12416,US,501,"New York,NY"
97371,US,820,"Portland,OR"
12417,US,501,"New York,NY"
97370,US,801,"Eugene,OR"
12410,US,501,"New York,NY"
12411,US,501,"New York,NY"
12414,US,532,"Albany-Schenectady-Troy,NY"
85395,US,753,"Phoenix,AZ"
85396,US,753,"Phoenix,AZ"
12412,US,501,"New York,NY"
12413,US,532,"Albany-Schenectady-Troy,NY"
85381,US,753,"Phoenix,AZ"
97369,US,820,"Portland,OR"
97366,US,820,"Portland,OR"
97365,US,820,"Portland,OR"
24401,US,569,"Harrisonburg,VA"
97368,US,820,"Portland,OR"
97367,US,820,"Portland,OR"
97362,US,820,"Portland,OR"
97361,US,820,"Portland,OR"
97364,US,820,"Portland,OR"
12429,US,501,"New York,NY"
12427,US,532,"Albany-Schenectady-Troy,NY"
97360,US,820,"Portland,OR"
12428,US,501,"New York,NY"
12421,US,502,"Binghamton,NY"
85388,US,753,"Phoenix,AZ"
12422,US,532,"Albany-Schenectady-Troy,NY"
12420,US,501,"New York,NY"
85387,US,753,"Phoenix,AZ"
12423,US,532,"Albany-Schenectady-Troy,NY"
85382,US,753,"Phoenix,AZ"
12424,US,532,"Albany-Schenectady-Troy,NY"
85383,US,753,"Phoenix,AZ"
97394,US,820,"Portland,OR"
97396,US,820,"Portland,OR"
97391,US,820,"Portland,OR"
97390,US,820,"Portland,OR"
97392,US,820,"Portland,OR"
97388,US,820,"Portland,OR"
97389,US,820,"Portland,OR"
97384,US,820,"Portland,OR"
97383,US,820,"Portland,OR"
97386,US,820,"Portland,OR"
97385,US,820,"Portland,OR"
12407,US,532,"Albany-Schenectady-Troy,NY"
97380,US,820,"Portland,OR"
12405,US,532,"Albany-Schenectady-Troy,NY"
12406,US,502,"Binghamton,NY"
97381,US,820,"Portland,OR"
12409,US,501,"New York,NY"
12404,US,501,"New York,NY"
12401,US,501,"New York,NY"
36360,US,606,"Dothan,AL"
36362,US,606,"Dothan,AL"
48348,US,505,"Detroit,MI"
48346,US,505,"Detroit,MI"
61320,US,682,"Davenport,IA-Rock Island-Moline,IL"
61321,US,602,"Chicago,IL"
73301,US,635,"Austin,TX"
24377,US,559,"Bluefield-Beckley-Oak Hill,WV"
61322,US,682,"Davenport,IA-Rock Island-Moline,IL"
61323,US,682,"Davenport,IA-Rock Island-Moline,IL"
61324,US,610,"Rockford,IL"
24378,US,573,"Roanoke-Lynchburg,VA"
61325,US,602,"Chicago,IL"
61326,US,675,"Peoria-Bloomington,IL"
61327,US,675,"Peoria-Bloomington,IL"
61329,US,682,"Davenport,IA-Rock Island-Moline,IL"
61319,US,675,"Peoria-Bloomington,IL"
24370,US,531,"Tri-Cities,TN-VA"
24375,US,531,"Tri-Cities,TN-VA"
75972,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
24374,US,573,"Roanoke-Lynchburg,VA"
75973,US,612,"Shreveport,LA"
75974,US,612,"Shreveport,LA"
48343,US,505,"Detroit,MI"
75975,US,612,"Shreveport,LA"
48342,US,505,"Detroit,MI"
75976,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
48341,US,505,"Detroit,MI"
75977,US,692,"Beaumont-Port Arthur,TX"
48340,US,505,"Detroit,MI"
75979,US,692,"Beaumont-Port Arthur,TX"
99929,US,747,"Juneau,AK"
99927,US,747,"Juneau,AK"
99925,US,747,"Juneau,AK"
36350,US,606,"Dothan,AL"
99926,US,747,"Juneau,AK"
36351,US,606,"Dothan,AL"
99923,US,747,"Juneau,AK"
36352,US,606,"Dothan,AL"
48336,US,505,"Detroit,MI"
61330,US,682,"Davenport,IA-Rock Island-Moline,IL"
36353,US,606,"Dothan,AL"
48335,US,505,"Detroit,MI"
61331,US,610,"Rockford,IL"
99921,US,747,"Juneau,AK"
48334,US,505,"Detroit,MI"
61332,US,602,"Chicago,IL"
99922,US,747,"Juneau,AK"
61333,US,675,"Peoria-Bloomington,IL"
61334,US,602,"Chicago,IL"
61335,US,675,"Peoria-Bloomington,IL"
61336,US,675,"Peoria-Bloomington,IL"
61337,US,682,"Davenport,IA-Rock Island-Moline,IL"
61338,US,682,"Davenport,IA-Rock Island-Moline,IL"
87939,US,790,"Albuquerque-Santa Fe,NM"
24380,US,573,"Roanoke-Lynchburg,VA"
24382,US,573,"Roanoke-Lynchburg,VA"
24381,US,573,"Roanoke-Lynchburg,VA"
75960,US,618,"Houston,TX"
75961,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
87943,US,790,"Albuquerque-Santa Fe,NM"
87942,US,790,"Albuquerque-Santa Fe,NM"
75964,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
87940,US,765,"El Paso,TX"
48331,US,505,"Detroit,MI"
75965,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
75966,US,692,"Beaumont-Port Arthur,TX"
75968,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
75969,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
99918,US,747,"Juneau,AK"
99919,US,747,"Juneau,AK"
48329,US,505,"Detroit,MI"
48328,US,505,"Detroit,MI"
48327,US,505,"Detroit,MI"
36340,US,606,"Dothan,AL"
48326,US,505,"Detroit,MI"
61340,US,675,"Peoria-Bloomington,IL"
61341,US,602,"Chicago,IL"
48324,US,505,"Detroit,MI"
61342,US,602,"Chicago,IL"
36343,US,606,"Dothan,AL"
48323,US,505,"Detroit,MI"
61344,US,682,"Davenport,IA-Rock Island-Moline,IL"
24354,US,531,"Tri-Cities,TN-VA"
61345,US,682,"Davenport,IA-Rock Island-Moline,IL"
61346,US,682,"Davenport,IA-Rock Island-Moline,IL"
61348,US,602,"Chicago,IL"
61349,US,682,"Davenport,IA-Rock Island-Moline,IL"
24351,US,573,"Roanoke-Lynchburg,VA"
24350,US,573,"Roanoke-Lynchburg,VA"
24352,US,573,"Roanoke-Lynchburg,VA"
36344,US,606,"Dothan,AL"
48322,US,505,"Detroit,MI"
36345,US,606,"Dothan,AL"
36346,US,606,"Dothan,AL"
48320,US,505,"Detroit,MI"
85310,US,753,"Phoenix,AZ"
48317,US,505,"Detroit,MI"
48316,US,505,"Detroit,MI"
61350,US,602,"Chicago,IL"
48315,US,505,"Detroit,MI"
36330,US,606,"Dothan,AL"
48314,US,505,"Detroit,MI"
48313,US,505,"Detroit,MI"
61353,US,610,"Rockford,IL"
48312,US,505,"Detroit,MI"
61354,US,602,"Chicago,IL"
24366,US,573,"Roanoke-Lynchburg,VA"
61356,US,682,"Davenport,IA-Rock Island-Moline,IL"
24368,US,573,"Roanoke-Lynchburg,VA"
61358,US,602,"Chicago,IL"
61359,US,682,"Davenport,IA-Rock Island-Moline,IL"
85308,US,753,"Phoenix,AZ"
85309,US,753,"Phoenix,AZ"
24360,US,573,"Roanoke-Lynchburg,VA"
85306,US,753,"Phoenix,AZ"
75980,US,709,"Tyler-Longview(Lufkin & Nacogdoches),TX"
85307,US,753,"Phoenix,AZ"
85304,US,753,"Phoenix,AZ"
24361,US,531,"Tri-Cities,TN-VA"
85305,US,753,"Phoenix,AZ"
85302,US,753,"Phoenix,AZ"
24363,US,573,"Roanoke-Lynchburg,VA"
85303,US,753,"Phoenix,AZ"
48310,US,505,"Detroit,MI"
85301,US,753,"Phoenix,AZ"
48308,US,505,"Detroit,MI"
48307,US,505,"Detroit,MI"
48306,US,505,"Detroit,MI"
61360,US,602,"Chicago,IL"
61361,US,682,"Davenport,IA-Rock Island-Moline,IL"
48304,US,505,"Detroit,MI"
61362,US,682,"Davenport,IA-Rock Island-Moline,IL"
61363,US,675,"Peoria-Bloomington,IL"
36320,US,606,"Dothan,AL"
48302,US,505,"Detroit,MI"
61364,US,602,"Chicago,IL"
97317,US,820,"Portland,OR"
36321,US,606,"Dothan,AL"
48301,US,505,"Detroit,MI"
24333,US,573,"Roanoke-Lynchburg,VA"
61367,US,610,"Rockford,IL"
97310,US,820,"Portland,OR"
61368,US,682,"Davenport,IA-Rock Island-Moline,IL"
61369,US,675,"Peoria-Bloomington,IL"
97312,US,820,"Portland,OR"
48309,US,505,"Detroit,MI"
85339,US,753,"Phoenix,AZ"
85337,US,753,"Phoenix,AZ"
85338,US,753,"Phoenix,AZ"
85335,US,753,"Phoenix,AZ"
24330,US,573,"Roanoke-Lynchburg,VA"
85336,US,771,"Yuma,AZ-El Centro,CA"
36322,US,606,"Dothan,AL"
85333,US,753,"Phoenix,AZ"
36323,US,606,"Dothan,AL"
85334,US,753,"Phoenix,AZ"
85331,US,753,"Phoenix,AZ"
85332,US,753,"Phoenix,AZ"
61370,US,602,"Chicago,IL"
61371,US,602,"Chicago,IL"
61372,US,602,"Chicago,IL"
61373,US,602,"Chicago,IL"
97304,US,820,"Portland,OR"
61374,US,682,"Davenport,IA-Rock Island-Moline,IL"
97303,US,820,"Portland,OR"
61375,US,675,"Peoria-Bloomington,IL"
97306,US,820,"Portland,OR"
36310,US,606,"Dothan,AL"
61376,US,682,"Davenport,IA-Rock Island-Moline,IL"
97305,US,820,"Portland,OR"
61377,US,675,"Peoria-Bloomington,IL"
24343,US,573,"Roanoke-Lynchburg,VA"
61378,US,610,"Rockford,IL"
61379,US,682,"Davenport,IA-Rock Island-Moline,IL"
97302,US,820,"Portland,OR"
97301,US,820,"Portland,OR"
24348,US,573,"Roanoke-Lynchburg,VA"
24347,US,573,"Roanoke-Lynchburg,VA"
36319,US,606,"Dothan,AL"
85328,US,753,"Phoenix,AZ"
85329,US,753,"Phoenix,AZ"
24340,US,531,"Tri-Cities,TN-VA"
85326,US,753,"Phoenix,AZ"
85324,US,753,"Phoenix,AZ"
85325,US,753,"Phoenix,AZ"
36311,US,606,"Dothan,AL"
85322,US,753,"Phoenix,AZ"
36312,US,606,"Dothan,AL"
85323,US,753,"Phoenix,AZ"
36313,US,606,"Dothan,AL"
85320,US,753,"Phoenix,AZ"
36314,US,606,"Dothan,AL"
85321,US,789,"Tucson (Sierra Vista),AZ"
36316,US,606,"Dothan,AL"
36317,US,606,"Dothan,AL"
36318,US,606,"Dothan,AL"
24319,US,531,"Tri-Cities,TN-VA"
24318,US,573,"Roanoke-Lynchburg,VA"
97336,US,820,"Portland,OR"
38961,US,673,"Columbus-Tupelo-West Point,MS"
97338,US,820,"Portland,OR"
24311,US,531,"Tri-Cities,TN-VA"
97333,US,801,"Eugene,OR"
24313,US,573,"Roanoke-Lynchburg,VA"
24312,US,573,"Roanoke-Lynchburg,VA"
24315,US,573,"Roanoke-Lynchburg,VA"
24314,US,573,"Roanoke-Lynchburg,VA"
24317,US,573,"Roanoke-Lynchburg,VA"
97331,US,801,"Eugene,OR"
24316,US,559,"Bluefield-Beckley-Oak Hill,WV"
97330,US,801,"Eugene,OR"
85357,US,753,"Phoenix,AZ"
38963,US,647,"Greenwood-Greenville,MS"
85355,US,753,"Phoenix,AZ"
36301,US,606,"Dothan,AL"
85356,US,771,"Yuma,AZ-El Centro,CA"
38965,US,673,"Columbus-Tupelo-West Point,MS"
85353,US,753,"Phoenix,AZ"
36303,US,606,"Dothan,AL"
38964,US,640,"Memphis,TN"
85354,US,753,"Phoenix,AZ"
38967,US,673,"Columbus-Tupelo-West Point,MS"
85351,US,753,"Phoenix,AZ"
36305,US,606,"Dothan,AL"
38966,US,647,"Greenwood-Greenville,MS"
85352,US,771,"Yuma,AZ-El Centro,CA"
85350,US,771,"Yuma,AZ-El Centro,CA"
